date,wind (knots),rain (mm),GME ($)
01/11/2022,7.9,1.3,29.4
31/10/2022,9,9.6,31.22
30/10/2022,11.2,0.1,26.88
29/10/2022,11.6,4.4,26.88
28/10/2022,12.3,5.1,26.88
27/10/2022,8.9,1.3,25.75
26/10/2022,11.4,5.3,26.37
25/10/2022,10,3.4,24.815
24/10/2022,6.3,0.1,25
23/10/2022,6.4,10.3,24.15
22/10/2022,9,1.2,24.15
21/10/2022,11.1,9,24.15
20/10/2022,6.3,0.1,24.65
19/10/2022,13.6,31.4,26
18/10/2022,7.8,0,27.1
17/10/2022,13.8,0,25.37
16/10/2022,10.5,2.3,25.77
15/10/2022,12.2,4.1,25.77
14/10/2022,6.6,0.4,25.77
13/10/2022,5.3,0.4,24.42
12/10/2022,7.9,0,25.96
11/10/2022,6.8,0,24.87
10/10/2022,9.5,0,25.37
09/10/2022,12.1,2.9,25.84
08/10/2022,6.9,0.1,25.84
07/10/2022,12.5,2.3,25.84
06/10/2022,10.5,0.8,26.29
05/10/2022,9.7,9.8,26.77
04/10/2022,10.5,2.4,25.95
03/10/2022,9.4,0,25.14
02/10/2022,6.6,0,25.03
01/10/2022,10.3,0.2,25.03
30/09/2022,13,9,25.03
29/09/2022,7.9,0,27.08
28/09/2022,10.5,1.5,25.89
27/09/2022,12.3,0.4,25.47
26/09/2022,16.4,0.1,24.66
25/09/2022,10.5,0.6,24.15
24/09/2022,8.9,0,24.15
23/09/2022,7.6,0.6,24.15
22/09/2022,6.2,20.3,27.17
21/09/2022,7.8,0,27.45
